Date,Clicks,Impressions,CTR,Position
2026-02-23,0,10,0%,8.9
2026-02-24,0,4,0%,43.5
2026-02-25,0,7,0%,11.7
2026-02-26,0,12,0%,7.2
2026-02-27,0,18,0%,11
2026-02-28,0,8,0%,24.4
2026-03-01,0,15,0%,10.3
2026-03-02,2,7,28.57%,3.3
2026-03-03,0,3,0%,4
2026-03-04,1,8,12.5%,5.4
2026-03-05,0,3,0%,4.3
2026-03-06,0,5,0%,16
2026-03-07,0,9,0%,5.2
2026-03-08,0,4,0%,25.5
2026-03-09,0,4,0%,10
2026-03-10,0,8,0%,3.6
2026-03-11,0,3,0%,4.7
2026-03-12,0,3,0%,5.3
2026-03-13,0,2,0%,6.5
2026-03-14,0,10,0%,24
2026-03-15,0,4,0%,31
2026-03-16,0,6,0%,15.7
2026-03-17,0,10,0%,7.8
2026-03-18,0,8,0%,7
2026-03-19,0,6,0%,27.7
2026-03-20,1,10,10%,13.4
2026-03-21,1,7,14.29%,15.7
2026-03-22,0,5,0%,9.2
2026-03-23,0,14,0%,7.3
2026-03-24,0,7,0%,8
2026-03-25,1,13,7.69%,6
2026-03-26,0,1,0%,38
2026-03-27,0,7,0%,5.6
2026-03-28,0,2,0%,7
2026-03-29,0,6,0%,7.3
2026-03-30,0,2,0%,28.5
2026-03-31,0,6,0%,18.5
2026-04-01,0,71,0%,34.7
2026-04-02,0,177,0%,44.7
2026-04-03,0,95,0%,42.3
2026-04-04,0,88,0%,33.1
2026-04-05,0,94,0%,56.2
2026-04-06,0,180,0%,46.4
2026-04-07,0,81,0%,49.3
2026-04-08,0,89,0%,51.1
2026-04-09,0,106,0%,34.8
2026-04-10,0,170,0%,32.4
2026-04-11,0,172,0%,31.5
2026-04-12,0,181,0%,31.8
2026-04-13,0,183,0%,42.5
2026-04-14,1,182,0.55%,38.5
2026-04-15,24,298,8.05%,22.5
2026-04-16,4,339,1.18%,39.8
2026-04-17,4,337,1.19%,28
2026-04-18,3,337,0.89%,31.5
2026-04-19,4,308,1.3%,25
2026-04-20,5,313,1.6%,26.7
2026-04-21,5,232,2.16%,24.6
2026-04-22,1,274,0.36%,28.3
2026-04-23,1,298,0.34%,22.3
2026-04-24,2,252,0.79%,19.9
2026-04-25,2,190,1.05%,22.6
2026-04-26,0,235,0%,20
2026-04-27,1,165,0.61%,24.7
2026-04-28,2,216,0.93%,20.5
2026-04-29,1,254,0.39%,19.9
2026-04-30,4,380,1.05%,14.4
2026-05-01,5,404,1.24%,15.4
2026-05-02,1,359,0.28%,15.2
2026-05-03,1,392,0.26%,15.2
2026-05-04,2,422,0.47%,15.2
2026-05-05,4,559,0.72%,12.6
2026-05-06,6,865,0.69%,12
2026-05-07,4,888,0.45%,15.7
2026-05-08,4,1082,0.37%,14.7
2026-05-09,4,1111,0.36%,13.1
2026-05-10,5,1374,0.36%,12.7
2026-05-11,3,1347,0.22%,13.9
2026-05-12,9,1140,0.79%,14.4
2026-05-13,4,1219,0.33%,16.1
2026-05-14,1,983,0.1%,15.7
2026-05-15,3,1023,0.29%,12.6
2026-05-16,2,1128,0.18%,12.4
2026-05-17,2,1247,0.16%,12
2026-05-18,3,822,0.36%,18.7
2026-05-19,1,488,0.2%,20.1
2026-05-20,1,427,0.23%,20.3
2026-05-21,8,417,1.92%,18.2
2026-05-22,13,390,3.33%,14.1